bq2419x_charger_shutdown +0x7c -> 0xc0248860 _clear_bit
bq2419x_usb_notifier_call +0x1c -> 0xc008da30 schedule_work
bq2419x_monitor_battery_ntc_charging +0x38 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_monitor_battery_ntc_charging +0x58 -> 0xc009a230 blocking_notifier_call_chain
bq2419x_monitor_battery_ntc_charging +0x6c -> 0xc041761c bqdemon_battery_voltage
bq2419x_monitor_battery_ntc_charging +0x78 -> 0xc0416bc0 bqdemon_battery_temperature
bq2419x_monitor_battery_ntc_charging +0xc4 -> 0xc041877c bq2419x_config_current_reg
bq2419x_monitor_battery_ntc_charging +0x104 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_monitor_battery_ntc_charging +0x11c -> 0xc009a230 blocking_notifier_call_chain
bq2419x_monitor_battery_ntc_charging +0x15c -> 0xc0419f44 bq2419x_calling_limit_ac_input_current.part.5
bq2419x_monitor_battery_ntc_charging +0x164 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_monitor_battery_ntc_charging +0x16c -> 0xc041877c bq2419x_config_current_reg
bq2419x_monitor_battery_ntc_charging +0x1c0 -> 0xc0419f44 bq2419x_calling_limit_ac_input_current.part.5
bq2419x_monitor_battery_ntc_charging +0x1c8 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_monitor_battery_ntc_charging +0x1d0 -> 0xc041877c bq2419x_config_current_reg
bq2419x_monitor_battery_ntc_charging +0x218 -> 0xc0419f44 bq2419x_calling_limit_ac_input_current.part.5
bq2419x_monitor_battery_ntc_charging +0x224 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_monitor_battery_ntc_charging +0x22c -> 0xc041877c bq2419x_config_current_reg
bq2419x_monitor_battery_ntc_charging +0x278 -> 0xc0419f44 bq2419x_calling_limit_ac_input_current.part.5
bq2419x_monitor_battery_ntc_charging +0x280 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_monitor_battery_ntc_charging +0x288 -> 0xc041877c bq2419x_config_current_reg
bq2419x_set_temperature_parameter +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_temperature_parameter +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_temperature_parameter +0x5c -> 0xc041a118 bq2419x_monitor_battery_ntc_charging
bq2419x_set_coldhot_charging +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_coldhot_charging +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_coldhot_charging +0x5c -> 0xc041a118 bq2419x_monitor_battery_ntc_charging
bq2419x_set_limit_temp_charging +0x18 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_limit_temp_charging +0x2c -> 0xc025b368 _kstrtol
bq2419x_set_limit_temp_charging +0x60 -> 0xc041a118 bq2419x_monitor_battery_ntc_charging
bq2419x_set_limit_temp_charging +0x8c -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_set_limit_temp_charging +0x94 -> 0xc041877c bq2419x_config_current_reg
bq2419x_charger_work +0x2c -> 0xc0416c48 is_bqdemon_battery_exist
bq2419x_charger_work +0x40 -> 0xc041a118 bq2419x_monitor_battery_ntc_charging
bq2419x_charger_work +0x74 -> 0xc04180b8 is_bqdemon_battery_full
bq2419x_charger_work +0x8c -> 0xc041888c bq2419x_config_term_timer_reg
bq2419x_charger_work +0xd0 -> 0xc0418928 bq2419x_read_block
bq2419x_charger_work +0x13c -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x14c -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x15c -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x16c -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x17c -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x18c -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x19c -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x1c0 -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x1c8 -> 0xc007a4f0 msecs_to_jiffies
bq2419x_charger_work +0x1d4 -> 0xc008edf0 schedule_delayed_work
bq2419x_charger_work +0x1ec -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_charger_work +0x1fc -> 0xc0418538 bq2419x_write_byte
bq2419x_charger_work +0x210 -> 0xc02bf034 dev_err
bq2419x_charger_work +0x218 -> 0xc00824b0 msleep
bq2419x_charger_work +0x228 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_charger_work +0x244 -> 0xc02bf034 dev_err
bq2419x_charger_work +0x25c -> 0xc02bf034 dev_err
bq2419x_charger_work +0x270 -> 0xc009a230 blocking_notifier_call_chain
bq2419x_charger_work +0x294 -> 0xc02bef50 _dev_info
bq2419x_charger_work +0x2a8 -> 0xc02bef50 _dev_info
bq2419x_charger_work +0x2bc -> 0xc009a230 blocking_notifier_call_chain
bq2419x_start_usb_otg +0x28 -> 0xc02bef50 _dev_info
bq2419x_start_usb_otg +0x40 -> 0xc02656f4 __gpio_set_value
bq2419x_start_usb_otg +0x58 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_start_usb_otg +0x60 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_start_usb_otg +0x68 -> 0xc007a4f0 msecs_to_jiffies
bq2419x_start_usb_otg +0x74 -> 0xc008edf0 schedule_delayed_work
bq2419x_start_usb_otg +0x88 -> 0xc02656f4 __gpio_set_value
bq2419x_set_charging +0x14 -> 0xc02c1b5c dev_get_drvdata
bq2419x_set_charging +0x2c -> 0xc02536f8 strncmp
bq2419x_set_charging +0x48 -> 0xc0419a9c bq2419x_start_ac_charger
bq2419x_set_charging +0x64 -> 0xc02536f8 strncmp
bq2419x_set_charging +0x80 -> 0xc0419c88 bq2419x_start_usb_charger
bq2419x_set_charging +0x9c -> 0xc02536f8 strncmp
bq2419x_set_charging +0xb8 -> 0xc02536f8 strncmp
bq2419x_set_charging +0xd4 -> 0xc0419830 bq2419x_stop_charger
bq2419x_set_charging +0xdc -> 0xc041a838 bq2419x_start_usb_otg
bq2419x_set_charging +0xec -> 0xc0419830 bq2419x_stop_charger
bq2419x_set_charging +0xf8 -> 0xc0419830 bq2419x_stop_charger
bq2419x_set_charging +0x104 -> 0xc0419830 bq2419x_stop_charger
bq2419x_usb_charger_work +0x54 -> 0xc02bef50 _dev_info
bq2419x_usb_charger_work +0x6c -> 0xc02bef50 _dev_info
bq2419x_usb_charger_work +0x7c -> 0xc05d5cb8 printk
bq2419x_usb_charger_work +0x94 -> 0xc02656f4 __gpio_set_value
bq2419x_usb_charger_work +0xa8 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_usb_charger_work +0xb0 -> 0xc0418670 bq2419x_config_input_source_reg
bq2419x_usb_charger_work +0xb8 -> 0xc008ed28 cancel_delayed_work_sync
bq2419x_usb_charger_work +0xd4 -> 0xc00b3430 wake_unlock
bq2419x_usb_charger_work +0xe8 -> 0xc02bef50 _dev_info
bq2419x_usb_charger_work +0xf0 -> 0xc0419c88 bq2419x_start_usb_charger
bq2419x_usb_charger_work +0x104 -> 0xc02bef50 _dev_info
bq2419x_usb_charger_work +0x10c -> 0xc0419a9c bq2419x_start_ac_charger
bq2419x_usb_charger_work +0x120 -> 0xc02bef50 _dev_info
bq2419x_usb_charger_work +0x128 -> 0xc0419c88 bq2419x_start_usb_charger
bq2419x_usb_charger_work +0x13c -> 0xc02bef50 _dev_info
bq2419x_usb_charger_work +0x144 -> 0xc0419a9c bq2419x_start_ac_charger
bq2419x_usb_charger_work +0x158 -> 0xc02bef50 _dev_info
bq2419x_usb_charger_work +0x160 -> 0xc0419830 bq2419x_stop_charger
bq2419x_usb_charger_work +0x174 -> 0xc02bef50 _dev_info
bq2419x_usb_charger_work +0x17c -> 0xc041a838 bq2419x_start_usb_otg
bq2419x_usb_charger_work +0x18c -> 0xc02656f4 __gpio_set_value
bq2419x_enable_charger_set +0x60 -> 0xc05d5cb8 printk
bq2419x_enable_charger_set +0x68 -> 0xc04185c0 bq2419x_config_power_on_reg
bq2419x_enable_charger_set +0x7c -> 0xc009a230 blocking_notifier_call_chain
bq2419x_charger_probe +0x3c -> 0xc00fd3b8 kmem_cache_alloc
bq2419x_charger_probe +0x58 -> 0xc02bf034 dev_err
bq2419x_charger_probe +0x84 -> 0xc02c1b80 dev_set_drvdata
bq2419x_charger_probe +0x98 -> 0xc0418928 bq2419x_read_block
bq2419x_charger_probe +0xb8 -> 0xc02bf034 dev_err
bq2419x_charger_probe +0x100 -> 0xc02bef50 _dev_info
bq2419x_charger_probe +0x114 -> 0xc02bef50 _dev_info
bq2419x_charger_probe +0x128 -> 0xc02bef50 _dev_info
bq2419x_charger_probe +0x130 -> 0xc0417420 get_battery_id
bq2419x_charger_probe +0x174 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x18c -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x1a4 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x1bc -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x1d4 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x1ec -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x204 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x21c -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x234 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x24c -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x264 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x27c -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x294 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x2ac -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x2c4 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x2dc -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x2f4 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x30c -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x324 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x33c -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x354 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x36c -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x384 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x39c -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x3b4 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x3cc -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x3e4 -> 0xc04757a0 get_hw_config_int
bq2419x_charger_probe +0x404 -> 0xc02bf034 dev_err
bq2419x_charger_probe +0x44c -> 0xc0416ea8 hweiOperaNVWR
bq2419x_charger_probe +0x460 -> 0xc05d5cb8 printk
bq2419x_charger_probe +0x47c -> 0xc05d5cb8 printk
bq2419x_charger_probe +0x4a4 -> 0xc0056928 iomux_get_block
bq2419x_charger_probe +0x4c0 -> 0xc00568a8 iomux_get_blockconfig
bq2419x_charger_probe +0x4d4 -> 0xc0056828 blockmux_set
