index,address,offset,type,size,name
340,0xc001868c,0x1068c,T,200,__alloc_bootmem_node_nopanic
341,0xc0018754,0x10754,T,72,__alloc_bootmem_low
342,0xc001879c,0x1079c,T,244,__alloc_bootmem_low_node
343,0xc0018890,0x10890,t,148,memblock_init_debugfs
344,0xc0018924,0x10924,t,68,early_memblock
345,0xc0018968,0x10968,T,96,__memblock_alloc_base
346,0xc00189c8,0x109c8,T,76,memblock_alloc_base
347,0xc0018a14,0x10a14,T,24,memblock_alloc
348,0xc0018a2c,0x10a2c,W,28,memblock_nid_range
349,0xc0018a48,0x10a48,T,324,memblock_alloc_nid
350,0xc0018b8c,0x10b8c,T,52,memblock_alloc_try_nid
351,0xc0018bc0,0x10bc0,T,32,memblock_phys_mem_size
352,0xc0018be0,0x10be0,T,220,memblock_enforce_memory_limit
353,0xc0018cbc,0x10cbc,T,48,memblock_is_reserved
354,0xc0018cec,0x10cec,T,208,memblock_analyze
355,0xc0018dbc,0x10dbc,T,148,memblock_init
356,0xc0018e50,0x10e50,t,156,init_emergency_pool
357,0xc0018eec,0x10eec,t,252,ashmem_init
358,0xc0018fe8,0x10fe8,t,40,setup_slub_nomerge
359,0xc0019010,0x11010,t,112,kmem_cache_bootstrap_fixup
360,0xc0019080,0x11080,t,60,setup_slub_min_objects
361,0xc00190bc,0x110bc,t,76,setup_slub_max_order
362,0xc0019108,0x11108,t,60,setup_slub_min_order
363,0xc0019144,0x11144,t,348,slab_sysfs_init
364,0xc00192a0,0x112a0,t,160,create_kmalloc_cache.constprop.49
365,0xc0019340,0x11340,T,752,kmem_cache_init
366,0xc0019630,0x11630,T,16,kmem_cache_init_late
367,0xc0019640,0x11640,T,168,files_init
368,0xc00196e8,0x116e8,T,80,chrdev_init
369,0xc0019738,0x11738,t,100,init_pipe_fs
370,0xc001979c,0x1179c,t,80,fcntl_init
371,0xc00197ec,0x117ec,t,72,set_dhash_entries
372,0xc0019834,0x11834,T,160,vfs_caches_init_early
373,0xc00198d4,0x118d4,T,336,vfs_caches_init
374,0xc0019a24,0x11a24,t,72,set_ihash_entries
375,0xc0019a6c,0x11a6c,T,152,inode_init_early
376,0xc0019b04,0x11b04,T,224,inode_init
377,0xc0019be4,0x11be4,T,204,files_defer_init
378,0xc0019cb0,0x11cb0,t,72,proc_filesystems_init
379,0xc0019cf8,0x11cf8,T,156,get_filesystem_list
380,0xc0019d94,0x11d94,T,496,mnt_init
381,0xc0019f84,0x11f84,T,124,buffer_init
382,0xc001a000,0x12000,t,392,init_bio
383,0xc001a188,0x12188,T,184,bdev_cache_init
384,0xc001a240,0x12240,T,184,bio_integrity_init
385,0xc001a2f8,0x122f8,t,52,fsnotify_init
386,0xc001a32c,0x1232c,T,180,fsnotify_notification_init
387,0xc001a3e0,0x123e0,t,84,fsnotify_mark_init
388,0xc001a434,0x12434,t,144,inotify_user_setup
389,0xc001a4c4,0x124c4,t,228,eventpoll_init
390,0xc001a5a8,0x125a8,t,364,anon_inode_init
391,0xc001a714,0x12714,t,88,filelock_init
392,0xc001a76c,0x1276c,t,72,proc_locks_init
393,0xc001a7b4,0x127b4,t,88,init_misc_binfmt
394,0xc001a80c,0x1280c,t,36,init_script_binfmt
395,0xc001a830,0x12830,t,36,init_elf_binfmt
396,0xc001a854,0x12854,t,36,init_mbcache
397,0xc001a878,0x12878,T,84,proc_init_inodecache
398,0xc001a8cc,0x128cc,T,244,proc_root_init
399,0xc001a9c0,0x129c0,T,200,proc_tty_init
400,0xc001aa88,0x12a88,t,72,proc_cmdline_init
401,0xc001aad0,0x12ad0,t,72,proc_consoles_init
402,0xc001ab18,0x12b18,t,72,proc_cpuinfo_init
403,0xc001ab60,0x12b60,t,72,proc_devices_init
404,0xc001aba8,0x12ba8,t,76,proc_interrupts_init
405,0xc001abf4,0x12bf4,t,72,proc_loadavg_init
406,0xc001ac3c,0x12c3c,t,72,proc_meminfo_init
407,0xc001ac84,0x12c84,t,72,proc_stat_init
408,0xc001accc,0x12ccc,t,72,proc_uptime_init
409,0xc001ad14,0x12d14,t,72,proc_version_init
410,0xc001ad5c,0x12d5c,t,72,proc_softirqs_init
411,0xc001ada4,0x12da4,T,80,proc_app_info_init
412,0xc001adf4,0x12df4,T,92,proc_sys_init
413,0xc001ae50,0x12e50,t,184,proc_net_ns_init
414,0xc001af08,0x12f08,T,64,proc_net_init
415,0xc001af48,0x12f48,t,72,proc_kmsg_init
416,0xc001af90,0x12f90,t,108,proc_page_init
417,0xc001affc,0x12ffc,t,40,force_gpt_fn
418,0xc001b024,0x13024,T,32,sysfs_inode_init
419,0xc001b044,0x13044,T,224,sysfs_init
420,0xc001b124,0x13124,T,32,configfs_inode_init
421,0xc001b144,0x13144,t,260,configfs_init
422,0xc001b248,0x13248,t,100,init_devpts_fs
423,0xc001b2ac,0x132ac,t,684,fscache_init
424,0xc001b558,0x13558,T,48,fscache_proc_init
425,0xc001b588,0x13588,T,148,ext4_init_pageio
426,0xc001b61c,0x1361c,t,628,ext4_init_fs
427,0xc001b890,0x13890,T,216,ext4_init_mballoc
428,0xc001b968,0x13968,T,92,ext4_init_system_zone
429,0xc001b9c4,0x139c4,T,68,ext4_init_xattr
430,0xc001ba08,0x13a08,T,204,jbd2_journal_init_revoke_caches
431,0xc001bad4,0x13ad4,t,356,journal_init
432,0xc001bc38,0x13c38,t,32,init_ramfs_fs
433,0xc001bc58,0x13c58,T,84,init_rootfs
434,0xc001bcac,0x13cac,T,100,fat_cache_init
435,0xc001bd10,0x13d10,t,116,init_fat_fs
436,0xc001bd84,0x13d84,t,32,init_vfat_fs
437,0xc001bda4,0x13da4,t,32,init_msdos_fs
438,0xc001bdc4,0x13dc4,t,32,init_nls_cp437
439,0xc001bde4,0x13de4,t,32,init_nls_cp850
440,0xc001be04,0x13e04,t,32,init_nls_cp852
441,0xc001be24,0x13e24,t,32,init_nls_cp855
442,0xc001be44,0x13e44,t,32,init_nls_cp936
443,0xc001be64,0x13e64,t,32,init_nls_cp950
444,0xc001be84,0x13e84,t,32,init_nls_cp1250
445,0xc001bea4,0x13ea4,t,32,init_nls_cp1251
446,0xc001bec4,0x13ec4,t,32,init_nls_ascii
447,0xc001bee4,0x13ee4,t,32,init_nls_iso8859_1
448,0xc001bf04,0x13f04,t,32,init_nls_iso8859_2
449,0xc001bf24,0x13f24,t,32,init_nls_iso8859_3
450,0xc001bf44,0x13f44,t,32,init_nls_iso8859_4
451,0xc001bf64,0x13f64,t,32,init_nls_koi8_r
452,0xc001bf84,0x13f84,t,32,init_nls_koi8_u
453,0xc001bfa4,0x13fa4,t,104,init_nls_koi8_ru
454,0xc001c00c,0x1400c,t,64,init_nls_utf8
455,0xc001c04c,0x1404c,t,716,init_ntfs_fs
456,0xc001c318,0x14318,T,124,fuse_dev_init
457,0xc001c394,0x14394,t,564,fuse_init
458,0xc001c5c8,0x145c8,T,32,fuse_ctl_init
459,0xc001c5e8,0x145e8,t,200,cachefiles_init
460,0xc001c6b0,0x146b0,t,120,debugfs_init
461,0xc001c728,0x14728,t,344,init_yaffs_fs
462,0xc001c880,0x14880,t,48,ipc_init
463,0xc001c8b0,0x148b0,T,152,ipc_init_proc_interface
464,0xc001c948,0x14948,T,100,msg_init
465,0xc001c9ac,0x149ac,T,76,sem_init
466,0xc001c9f8,0x149f8,T,76,shm_init
467,0xc001ca44,0x14a44,t,36,ipc_sysctl_init
468,0xc001ca68,0x14a68,T,252,key_init
469,0xc001cb64,0x14b64,t,96,key_proc_init
470,0xc001cbc4,0x14bc4,t,52,init_mmap_min_addr
471,0xc001cbf8,0x14bf8,t,92,crypto_wq_init
472,0xc001cc54,0x14c54,t,24,crypto_algapi_init
473,0xc001cc6c,0x14c6c,T,68,crypto_init_proc
474,0xc001ccb0,0x14cb0,t,92,skcipher_module_init
475,0xc001cd0c,0x14d0c,t,32,chainiv_module_init
476,0xc001cd2c,0x14d2c,t,32,eseqiv_module_init
477,0xc001cd4c,0x14d4c,t,32,cryptomgr_init
478,0xc001cd6c,0x14d6c,t,32,hmac_module_init
479,0xc001cd8c,0x14d8c,t,32,md5_mod_init
480,0xc001cdac,0x14dac,t,32,sha1_generic_mod_init
481,0xc001cdcc,0x14dcc,t,32,crypto_ecb_module_init
482,0xc001cdec,0x14dec,t,32,crypto_cbc_module_init
